,date,city_code,PM2.5,BC,OM,SO4,NO3,NH4,cl
3,2013/1/1,1001,41.35953563,1.947513134,26.03707315,5.257310218,4.962873571,5.661519546,3.154765554
8,2013/1/2,1001,40.06794111,1.899949129,25.03976185,5.24028791,4.682866989,5.201788758,3.20507523
13,2013/1/3,1001,60.26238795,2.8894973,35.95667454,7.502859396,9.088916401,7.383417098,4.82444031
18,2013/1/4,1001,80.19602906,3.94157559,45.56484148,10.78673922,14.05637676,10.16869659,5.84649601
23,2013/1/5,1001,67.48468662,3.122010002,42.72578657,8.302285206,9.107508268,7.478974795,4.227096573
28,2013/1/6,1001,79.54458891,3.705774108,47.21666889,11.18053439,12.86248136,10.14888249,4.579130169
33,2013/1/7,1001,73.10024582,3.523943351,45.70181693,9.453626954,10.31247436,8.538814756,4.108384227
38,2013/1/8,1001,60.18786799,2.904105733,36.74890955,8.237340742,8.563860878,7.473586523,3.733651084
43,2013/1/9,1001,74.09841507,3.470092637,42.69597084,12.0494425,10.79089584,8.85571234,5.092013252
48,2013/1/10,1001,98.79542692,5.040421574,49.91859114,17.38859995,20.77172629,14.5540537,5.676087976
53,2013/1/11,1001,137.9673543,6.019900091,79.55572625,23.24108146,23.58677046,18.393695,5.563876005
58,2013/1/12,1001,81.54294643,3.969742005,46.86117857,13.02266678,13.30434129,10.91109115,4.385017786
63,2013/1/13,1001,117.7000347,5.534435117,62.14924339,19.56845871,24.34281431,15.98366916,6.105083165
68,2013/1/14,1001,76.12763668,3.534472813,47.64406004,11.1074814,9.898322444,8.529579534,3.943299987
73,2013/1/15,1001,109.3646101,4.993686353,63.28904069,16.97747938,19.16345401,14.41153394,4.940949626
78,2013/1/16,1001,55.39503095,2.503809244,35.72964405,6.811379742,7.147687623,6.397564334,3.202510282
83,2013/1/17,1001,66.55929598,3.098638391,40.21820941,9.00514993,10.05739294,8.336614083,4.179905309
88,2013/1/18,1001,86.71547569,4.07860213,49.89038945,11.87974277,15.39776368,11.1652826,5.468977664
93,2013/1/19,1001,83.48144891,3.92511757,48.52094988,11.67407871,14.58238531,10.62311111,4.778917438
98,2013/1/20,1001,117.0415351,5.395718065,60.65849322,19.05409972,24.80357672,14.63077857,7.129647337
103,2013/1/21,1001,105.3711471,4.670359929,64.80514837,15.62336232,15.92972197,12.40866218,4.342554496
108,2013/1/22,1001,80.48970847,3.786169437,46.72632678,12.08756609,13.45615698,10.28365517,4.43348917
113,2013/1/23,1001,94.63595774,4.466821248,55.80348919,13.8439803,16.08011165,12.68336662,4.441555341
118,2013/1/24,1001,43.5417081,1.940286101,28.50103402,5.133415266,5.355778777,5.356616503,2.611193936
123,2013/1/25,1001,68.72181014,2.997369568,43.92032208,8.196592437,8.948880165,7.22988218,4.658645886
128,2013/1/26,1001,72.43369837,3.3173545,44.52374558,10.10599893,10.23242306,8.502788778,4.254176298
133,2013/1/27,1001,85.7940619,4.085701622,46.79933197,13.97565669,16.36894259,12.17640221,4.564429021
138,2013/1/28,1001,110.2669727,5.182694255,60.9097246,18.16278903,21.08997223,14.12113108,4.921792529
143,2013/1/29,1001,122.2964956,5.553186529,62.55925156,22.99961168,25.46085128,15.60615882,5.723594563
148,2013/1/30,1001,143.1814216,5.706609906,72.17965781,29.51982991,29.10122958,19.39875851,6.674094354
153,2013/1/31,1001,114.9398596,4.955824908,57.79617628,22.08278753,24.17243263,15.27211703,5.932638233
158,2013/2/1,1001,44.7070978,1.997962116,28.85598323,5.020800904,6.175589565,5.71187299,2.656761989
163,2013/2/2,1001,47.65078196,2.275888033,27.39019318,7.304441667,6.743632662,6.00925909,3.936626418
168,2013/2/3,1001,77.27507175,3.379010655,44.06424135,12.00745596,14.44041289,11.42481949,3.383950884
173,2013/2/4,1001,38.02292978,1.712978595,24.29485121,4.969828579,4.740392872,5.015662068,2.304878525
178,2013/2/5,1001,81.6685912,3.726973279,50.1684526,10.02402604,13.02581814,10.0097927,4.723321148
183,2013/2/6,1001,44.61496207,1.995030076,28.81068061,5.257367164,6.066231039,5.765694525,2.485653182
